motor_id,point_id,reference_rpm,hall_period_us,pulse_frequency_hz,ppr_estimate,candidate_ppr,calculated_rpm,observed_error_percent
motor1,P1,1735.000000,34787.000000,28.746371,0.994111,1,1724.782246,0.588920
motor1,P2,2358.000000,25536.000000,39.160401,0.996448,1,2349.624060,0.355214
motor1,P3,3100.000000,19485.500000,51.320212,0.993294,1,3079.212748,0.670557
motor2,P1,1770.000000,33475.500000,29.872593,1.012630,1,1792.355603,1.263028
motor2,P2,2320.000000,25436.000000,39.314358,1.016751,1,2358.861456,1.675063
motor2,P3,2980.000000,20293.000000,49.278076,0.992176,1,2956.684571,0.782397
